,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
844888,1.0,1,0,0,0,0.0,100.0,12.429216196844383,73,68,open,44221000,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844889,3.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,33711510,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844890,1.0,1,0,0,0,0.0,100.0,10.819778284410283,73,68,open,90910000,0,35.0,21-171541,1,2022_January,Services,1.0,0.0,200046985,1
844891,1.0,1,0,0,0,0.0,100.0,11.512925464970229,73,68,open,35100000,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844877,4.0,1,0,0,0,0.0,100.0,13.16158409055761,73,68,open,45233141,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844892,1.0,1,0,0,0,0.0,100.0,11.918390573078392,73,68,open,45331200,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844893,2.0,1,0,0,0,0.0,100.0,12.611537753638338,73,68,open,45232460,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844894,5.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,09310000,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844895,2.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,45421146,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844896,1.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,45421000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844897,1.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,45421141,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844898,1.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,44316500,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844899,1.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,44112500,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844900,3.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,45223220,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844878,3.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,45261420,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844901,3.0,1,0,0,0,0.0,100.0,11.512925464970229,73,68,open,44423400,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844902,6.0,1,0,0,0,0.0,100.0,12.611537753638338,73,68,open,45234116,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844903,2.0,1,0,0,0,0.0,100.0,12.429216196844383,73,68,open,45442100,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844904,1.0,1,0,0,0,0.0,100.0,12.429216196844383,73,68,open,44112200,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844905,1.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,45431000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844906,3.0,1,0,0,0,0.0,100.0,11.512925464970229,73,68,open,45340000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844907,3.0,1,0,0,0,0.0,100.0,11.918390573078392,73,68,open,44115310,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844908,1.0,1,0,0,0,0.0,100.0,11.512925464970229,73,68,open,90910000,0,35.0,21-171541,1,2022_January,Services,1.0,0.0,200046985,1
844909,4.0,1,0,0,0,0.0,100.0,12.206072645530174,73,68,open,45262660,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844879,2.0,1,0,0,0,0.0,100.0,13.458835614025542,73,68,open,45330000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844880,2.0,1,0,0,0,0.0,100.0,13.458835614025542,73,68,open,39717200,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844881,1.0,1,0,0,0,0.0,100.0,13.458835614025542,73,68,open,33190000,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844882,3.0,1,0,0,0,0.0,100.0,13.815510557964274,73,68,open,09310000,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844883,1.0,1,0,0,0,0.0,100.0,13.592367006650065,73,68,open,45421000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844884,1.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,44112200,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
609149,1.0,1,0,0,0,0.0,40.0,10.763356070097183,73,67,open,66515000,0,38.0,21-171555,1,2022_January,Services,1.0,0.0,200051878,1
609151,0.0,0,0,0,0,0.0,40.0,13.62918097977278,73,67,open,66512000,0,38.0,21-171555,1,2022_January,Services,0.0,2.0,200051878,0
312779,1.0,1,0,1,0,0.0,55.0,14.880221294956703,92,33,open,90511000,0,32.0,21-171594,0,2022_January,Services,1.0,0.0,448385641,1
697485,0.0,1,1,0,0,0.0,35.0,13.892471599100402,55,29,open,79710000,1,34.0,21-171632,1,2022_January,Services,0.0,6.0,311294904,0
697486,0.0,1,1,0,0,0.0,35.0,13.304684934198283,55,29,open,79710000,1,34.0,21-171632,1,2022_January,Services,0.0,4.0,311294904,0
697487,0.0,1,1,0,0,0.0,35.0,13.487006490992238,55,29,open,79710000,1,34.0,21-171632,1,2022_January,Services,0.0,5.0,311294904,0
697488,0.0,0,1,0,0,0.0,35.0,13.815510557964274,55,29,open,79710000,1,34.0,21-171632,1,2022_January,Services,0.0,6.0,311294904,0
697489,0.0,0,1,0,0,0.0,35.0,12.89921982609012,55,29,open,79710000,1,34.0,21-171632,1,2022_January,Services,0.0,4.0,311294904,0
1135151,2.0,1,0,0,0,0.0,60.0,11.683359983369758,73,39,open,03419100,1,33.0,21-171664,0,2022_January,Supplies,1.0,0.0,253900633,1
1135709,3.0,1,0,0,0,0.0,50.0,10.5621468026374,73,39,open,34352100,1,35.0,21-171686,0,2022_January,Supplies,1.0,0.0,253900633,1
915460,2.0,0,1,1,1,10.0,40.0,14.690191485077161,72,85,open,30213000,1,55.0,21-171703,0,2022_January,Supplies,0.5,2.0,228500013,1
71124,2.0,1,0,1,1,22.0,40.0,12.765688433465597,72,91,open,79810000,1,29.0,21-171750,1,2022_January,Services,0.5,2.0,219104775,1
71126,3.0,1,0,1,1,20.0,40.0,11.156250521031495,72,91,open,32584000,1,29.0,21-171750,1,2022_January,Supplies,1.0,0.0,219104775,1
435025,1.0,1,1,1,1,5.0,50.0,13.969661240648675,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.25,3.0,218300697,1
435026,3.0,0,1,1,1,5.0,50.0,13.030285522006407,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.42857142857142855,4.0,218300697,1
435027,2.0,0,1,1,1,5.0,50.0,13.038583145547458,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.3333333333333333,4.0,218300697,1
435028,0.0,0,1,1,1,5.0,50.0,12.89921982609012,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.0,4.0,218300697,0
435029,0.0,0,1,1,1,10.0,60.0,10.819778284410283,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.0,4.0,218300697,0
435030,0.0,0,1,1,1,10.0,60.0,11.918390573078392,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.0,4.0,218300697,0
435031,0.0,0,1,1,1,10.0,60.0,12.360223311071717,72,83,open,90911200,1,48.0,21-171766,1,2022_January,Services,0.0,3.0,218300697,0
37685,1.0,0,0,0,0,0.0,30.0,12.065401539991406,73,75,open,72268000,1,28.0,21-64832,0,2023_March,Services,0.5,1.0,130002504,1
327842,0.0,1,0,0,0,0.0,40.0,5.422215003204274,72,28,restricted,71240000,0,29.0,21-69808,0,2022_January,Services,0.0,5.0,212801401,0
352159,0.0,0,0,0,0,0.0,40.0,14.115615150414612,73,94,open,71336000,1,51.0,21-74560,0,2022_January,Services,0.0,3.0,180092256,0
662034,1.0,0,0,1,0,0.0,40.0,11.629374277613476,73,60,open,77341000,1,33.0,22-100017,1,2022_July,Services,0.5,1.0,200067973,1
666691,4.0,1,0,0,1,10.0,40.0,13.9408617714672,81,54,restricted,71240000,0,82.0,22-100100,0,2022_July,Services,1.0,0.0,775615511,1
930153,1.0,1,0,0,0,0.0,50.0,10.819778284410283,73,50,open,09130000,1,44.0,22-100177,1,2022_July,Supplies,0.5,1.0,200067205,1
1135711,3.0,0,0,1,0,0.0,60.0,12.20515962885727,73,39,open,45112500,0,29.0,22-100216,1,2022_July,Works,0.5,3.0,200071116,1
1135723,3.0,1,0,1,0,0.0,60.0,9.717842077642002,73,39,open,45431000,0,29.0,22-100216,1,2022_July,Works,1.0,0.0,200071116,1
1135724,0.0,0,0,1,0,0.0,60.0,12.840103644131018,73,39,open,45331000,0,29.0,22-100216,1,2022_July,Works,0.0,1.0,200071116,0
1135725,0.0,0,0,1,0,0.0,60.0,11.341267252101929,73,39,open,45330000,0,29.0,22-100216,1,2022_July,Works,0.0,1.0,200071116,0
1135726,4.0,1,0,1,0,0.0,60.0,11.995931692849954,73,39,open,45311200,0,29.0,22-100216,1,2022_July,Works,0.8,1.0,200071116,1
1135727,2.0,1,0,1,0,0.0,60.0,9.144627828610801,73,39,open,45112710,0,29.0,22-100216,1,2022_July,Works,0.5,2.0,200071116,1
1135714,2.0,1,0,1,0,0.0,60.0,13.448236079771155,73,39,open,45261100,0,29.0,22-100216,1,2022_July,Works,0.6666666666666666,1.0,200071116,1
1135715,2.0,0,0,1,0,0.0,60.0,11.45931369552158,73,39,open,45223210,0,29.0,22-100216,1,2022_July,Works,0.6666666666666666,1.0,200071116,1
1135716,1.0,0,0,1,0,0.0,60.0,12.453581692523217,73,39,open,45261420,0,29.0,22-100216,1,2022_July,Works,0.25,3.0,200071116,1
1035531,0.0,0,0,0,0,0.0,100.0,12.406185003332677,65,10,open,90911200,0,38.0,22-100486,1,2022_July,Services,0.0,3.0,418341541,0
1035532,0.0,0,0,0,0,0.0,100.0,10.351972238708035,65,10,open,90911300,0,38.0,22-100486,1,2022_July,Services,0.0,2.0,418341541,0
75053,1.0,1,0,0,1,10.0,20.0,11.407564949312402,72,93,open,33141820,1,31.0,22-100487,1,2022_July,Supplies,1.0,0.0,219300480,1
75054,1.0,1,0,0,1,10.0,20.0,10.308952660644293,72,93,open,33141820,1,31.0,22-100487,1,2022_July,Supplies,1.0,0.0,219300480,1
146847,5.0,1,0,0,0,0.0,30.0,11.918390573078392,72,59,open,37535200,1,31.0,22-100517,0,2022_July,Supplies,1.0,0.0,215906462,1
1098822,0.0,0,0,0,0,0.0,100.0,15.607290360318943,73,52,negotiated,55521200,0,40.0,22-100806,0,2022_July,Services,0.0,2.0,200068658,0
770046,0.0,0,0,0,0,0.0,40.0,13.592367006650065,72,14,open,30199770,1,30.0,22-10083,0,2022_January,Supplies,0.0,2.0,211407150,0
321974,0.0,0,0,1,0,0.0,40.0,13.815509557963773,73,33,open,50700000,1,41.0,22-100845,0,2022_July,Services,0.0,2.0,130018351,0
564920,2.0,0,0,1,0,0.0,40.0,13.085141145955522,41,44,open,32321200,1,29.0,22-100901,0,2022_July,Supplies,0.4,3.0,381053768,1
741988,0.0,0,0,0,0,0.0,40.0,12.89921982609012,73,80,open,66133000,1,31.0,22-101046,0,2022_July,Services,0.0,3.0,248000747,0
1146054,1.0,0,0,0,0,0.0,40.0,12.385882717852233,73,53,open,90610000,0,32.0,22-101052,0,2022_July,Services,1.0,0.0,200033298,1
720279,1.0,1,0,0,0,0.0,45.0,12.542544882151386,73,30,open,18100000,1,33.0,22-101100,0,2022_July,Supplies,0.5,1.0,200066918,1
151266,0.0,0,0,1,0,0.0,50.0,14.676012296502297,72,59,open,50721000,0,36.0,22-101114,0,2022_July,Services,0.0,1.0,215903865,0
649469,3.0,1,0,0,0,0.0,100.0,11.512925464970229,73,57,open,79540000,1,19.0,22-10131,1,2022_January,Services,1.0,0.0,285701611,1
649470,5.0,1,0,0,0,0.0,100.0,11.512925464970229,73,57,open,79530000,1,19.0,22-10131,1,2022_January,Services,1.0,0.0,285701611,1
187648,0.0,0,0,0,0,0.0,20.0,13.16158409055761,72,13,open,39296100,1,33.0,22-10132,1,2022_January,Supplies,0.0,1.0,211300041,0
187649,1.0,0,0,0,0,0.0,20.0,11.002099841204238,72,13,open,39296000,1,33.0,22-10132,1,2022_January,Supplies,0.5,1.0,211300041,1
978062,1.0,0,0,0,0,0.0,60.0,11.982929094215963,73,86,open,31224500,1,37.0,22-101417,1,2022_July,Supplies,0.25,3.0,198608564,1
850482,0.0,0,0,0,1,10.0,50.0,15.80754064263314,73,02,open,90513000,0,32.0,22-101479,1,2022_July,Services,0.0,2.0,250208790,0
850483,0.0,0,0,0,1,10.0,50.0,15.143751987635548,73,02,open,90513000,0,32.0,22-101479,1,2022_July,Services,0.0,2.0,250208790,0
850484,0.0,0,0,0,1,10.0,50.0,14.608457823601396,73,02,open,90513000,0,32.0,22-101479,1,2022_July,Services,0.0,2.0,250208790,0
850485,1.0,0,0,0,1,10.0,50.0,14.571186428804165,73,02,open,90513000,0,32.0,22-101479,1,2022_July,Services,0.3333333333333333,2.0,250208790,1
850486,1.0,0,0,0,1,10.0,50.0,15.245163693256389,73,02,open,90513000,0,32.0,22-101479,1,2022_July,Services,0.3333333333333333,2.0,250208790,1
218306,5.0,1,0,0,0,0.0,40.0,11.820410164718188,71,75,open,50711000,1,20.0,22-101589,0,2022_July,Services,1.0,0.0,177504305,1
414450,1.0,1,0,0,0,0.0,80.0,16.046725841075904,71,76,open,45233141,1,30.0,22-101629,1,2022_July,Works,0.2,4.0,130001696,1
414454,2.0,0,0,0,0,0.0,80.0,15.60700999338647,71,76,open,45233141,1,30.0,22-101629,1,2022_July,Works,0.3333333333333333,4.0,130001696,1
279772,0.0,0,0,1,0,0.0,45.0,14.57818380117283,72,93,open,90911200,1,51.0,22-101708,1,2022_July,Services,0.0,6.0,219300456,0
279773,0.0,0,0,1,0,0.0,45.0,10.614400974640018,72,93,open,90911300,1,51.0,22-101708,1,2022_July,Services,0.0,1.0,219300456,0
283923,0.0,1,0,1,0,0.0,40.0,12.624045866681525,72,93,open,45331000,0,30.0,22-101713,0,2022_July,Works,0.0,3.0,219300456,0
196051,2.0,1,0,1,0,0.0,40.0,14.508657738524219,72,84,open,51314000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196052,6.0,1,0,1,0,0.0,20.0,10.085809109330082,72,84,open,92100000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196053,3.0,1,0,1,0,0.0,20.0,10.080377719332876,72,84,open,92100000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196054,4.0,0,0,1,0,0.0,20.0,9.615805480084347,72,84,open,92100000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196055,3.0,1,0,1,0,0.0,20.0,10.165851817003619,72,84,open,92100000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196056,2.0,1,0,1,0,0.0,20.0,10.06475570013225,72,84,open,92100000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
196057,5.0,1,0,1,0,0.0,20.0,10.186031447131786,72,84,open,92312000,1,35.0,22-101729,1,2022_July,Services,1.0,0.0,218400075,1
84447,1.0,1,0,0,0,0.0,40.0,13.122363377404328,55,80,open,71351500,1,29.0,22-101763,0,2022_July,Services,1.0,0.0,814555819,1
361386,0.0,0,1,0,0,0.0,60.0,12.793859310432293,73,62,open,77310000,1,31.0,22-101768,1,2022_July,Services,0.0,2.0,200069029,0
361387,0.0,0,1,0,0,0.0,60.0,12.206072645530174,73,62,open,77340000,1,31.0,22-101768,1,2022_July,Services,0.0,4.0,200069029,0
21775,6.0,1,0,0,1,15.0,30.0,14.28551418721001,73,75,open,15811100,1,31.0,22-101776,0,2022_July,Supplies,1.0,0.0,267500403,1
142204,4.0,1,0,0,0,0.0,35.0,12.05844232852615,72,59,open,71240000,0,31.0,22-101818,0,2022_July,Services,1.0,0.0,215903501,1
962866,5.0,1,1,1,0,0.0,100.0,14.129303992203223,72,72,open,45112500,0,30.0,22-101922,1,2022_July,Works,1.0,0.0,227200029,1
962867,2.0,1,1,1,0,0.0,100.0,12.899216826085619,72,72,open,45220000,0,30.0,22-101922,1,2022_July,Works,1.0,0.0,227200029,1
195978,0.0,0,0,0,0,0.0,30.0,13.012548511397123,73,13,negotiated,31711422,0,32.0,22-101925,0,2022_July,Supplies,0.0,2.0,130015332,0
846532,0.0,0,0,0,0,0.0,35.0,11.289252148355159,72,68,open,77231200,0,35.0,22-101995,0,2022_July,Services,0.0,1.0,216802249,0
769234,2.0,0,1,0,0,0.0,40.0,10.333595190679741,72,14,open,90919300,0,30.0,22-102054,1,2022_July,Services,0.2857142857142857,5.0,211403662,1
769235,2.0,1,1,0,0,0.0,40.0,9.903487552536127,72,14,open,90911300,0,30.0,22-102054,1,2022_July,Services,0.4,3.0,211403662,1
769236,2.0,0,1,0,0,0.0,40.0,10.478489506856599,72,14,open,90900000,0,30.0,22-102054,1,2022_July,Services,0.2857142857142857,5.0,211403662,1
193273,1.0,0,0,0,0,0.0,45.0,13.206991249434823,72,13,open,50324200,0,33.0,22-102324,0,2022_July,Services,0.3333333333333333,2.0,211300504,1
915928,1.0,1,0,1,0,0.0,60.0,12.206072645530174,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
915929,1.0,1,0,1,0,0.0,60.0,11.84939770159144,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
915932,1.0,1,0,1,0,0.0,60.0,12.388394202324129,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
915933,1.0,1,0,1,0,0.0,60.0,11.982929094215963,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
915934,1.0,1,0,1,0,0.0,60.0,10.596634733096073,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
915935,1.0,1,0,1,0,0.0,60.0,12.206072645530174,73,85,open,60130000,1,36.0,22-102337,1,2022_July,Services,1.0,0.0,200073260,1
633559,1.0,1,0,0,0,0.0,40.0,12.765688433465597,72,35,open,32500000,1,30.0,22-102414,0,2022_July,Supplies,1.0,0.0,213500515,1
1135561,1.0,1,0,1,0,0.0,60.0,11.49560696168155,73,39,open,45421150,0,32.0,22-102452,1,2022_July,Works,0.3333333333333333,2.0,200071116,1
